,Participant,Presentation,elab.decay,elab.temp,elab.ter,elab.LL,med.decay,med.temp,med.ter,med.LL,best.model,diff.LL
14,sub02,4,0.12683573960834382,0.39622859478917954,0.5353411469640743,-261.44825920138663,0.045674544138460046,0.4310203332242595,0.22861727250355135,-238.1094515563638,Mediator,23.338807645022825
15,sub02,5,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
16,sub02,6,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
17,sub02,7,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
18,sub02,8,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
19,sub02,9,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
20,sub03,0,0.0812107549194579,0.41228905281380135,0.32226324688287283,-412.91260020773234,0.07660852929094489,0.4171971428612932,0.45323716412707005,-372.3905405957927,Mediator,40.52205961193965
21,sub03,1,0.1783116893285695,0.44582472000672974,0.572691029343582,-422.8533813010103,0.12093223282539545,0.47637546481231785,0.24813587262586206,-379.712212079785,Mediator,43.14116922122531
22,sub03,2,0.2279816408464077,0.465289866506999,0.31930971701685507,-275.13989996539755,0.1328880991457867,0.49218254363972036,0.46409727716135923,-249.66077657940244,Mediator,25.47912338599511
23,sub03,3,0.10481676238574333,0.40661265048718437,0.5381207623201903,-236.06117384790744,0.07853928895977975,0.4868303797531733,0.2630862965997142,-213.94379943604582,Mediator,22.11737441186162
24,sub03,4,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
25,sub03,5,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
26,sub03,6,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
27,sub03,7,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
28,sub03,8,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
29,sub03,9,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
30,sub04,0,0.12333468790613748,0.5062729348452354,0.5303058884574363,-464.81503935485847,0.0744084728829296,0.39985260744756285,0.49830760020054765,-393.5760273453105,Mediator,71.23901200954799
31,sub04,1,0.13274555121913914,0.360679774997897,1.068962418958967,-432.7687634772824,0.065101633103943,0.3693852109412367,0.3698568008315501,-378.6657086282067,Mediator,54.103054849075704
32,sub04,2,0.17111054384850533,0.459430609667341,0.5210319875920326,-388.86624570272113,0.12563908050811712,0.48278479209345343,0.3085560711706261,-351.9813827569636,Mediator,36.884862945757504
33,sub04,3,0.2089760824128236,0.4192730384933445,0.43313964496168267,-244.42525710401281,0.10697353831814661,0.3776454548878658,0.31722068707424106,-208.5847877451284,Mediator,35.840469358884405
34,sub04,4,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
35,sub04,5,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
36,sub04,6,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
37,sub04,7,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
38,sub04,8,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
39,sub04,9,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
40,sub05,0,0.12684183323263923,0.46614105068292916,0.3693972650710797,-515.1031856798908,0.08468154793380625,0.4077011813596286,0.2639129421008696,-448.0842719963675,Mediator,67.0189136835233
41,sub05,1,0.14748739348745607,0.5269341912374043,0.4970000928172041,-539.889005078254,0.03689981874860922,0.3540711064603668,0.2579735086885746,-420.25714100204294,Mediator,119.631864076211
42,sub05,2,0.12215738057754558,0.47231658476490695,0.8170047199773013,-499.2695122867105,0.07178515803586606,0.368988825652157,0.17345309558095573,-392.5639073646808,Mediator,106.70560492202969
43,sub05,3,0.108344519721401,0.46285622744254773,0.6218244691806456,-318.2677340754325,0.07934064135493821,0.36777362931302215,0.1694583816152021,-253.52004086170882,Mediator,64.74769321372366
44,sub05,4,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
45,sub05,5,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
46,sub05,6,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
47,sub05,7,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
48,sub05,8,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
49,sub05,9,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,1.999952051446196,1.9999516354665015,1.999955721101463,0.0,Mediator,0.0
50,sub06,0,0.03648673004045757,0.47271244862503087,0.45913864634344714,-476.81713118136264,0.03049315764448554,0.5099790645795684,0.13112665877601953,-439.7031252609562,Mediator,37.11400592040644
51,sub06,1,0.09426094685660424,0.4719962009354265,0.5485950290239813,-469.2501223987076,0.08539601628236196,0.5218293697025812,0.20588337100159831,-431.37190918094,Mediator,37.87821321776761
52,sub06,2,0.12009067300616652,0.47494592849685524,0.7868872618663368,-452.5569914749558,0.033098943370085676,0.4036964495383484,0.2635211579139904,-378.09952120685466,Mediator,74.45747026810113
