"","participant","cue","phase","condition","target","response","rt","correct","Column1","Column2","pred_correct"
"204",1008,"HONEYMOON","test","error","ROMANCE","ROMANCE",3966,1,NA,"",0.862111391141077
"205",1008,"CRUNCH","test","error","NOISE","NOISE",5166,1,NA,"",0.862111391141077
"206",1008,"INTRODUCE","test","error","PRESENT","PRESENT",7102,1,NA,"",0.862111391141077
"207",1008,"CANYON","test","error","MOUNTAIN","MOUNTAIN",7167,1,NA,"",0.862111391141077
"208",1008,"SAFARI","test","error","DESERT","DESERT",5006,1,NA,"",0.862111391141077
"209",1008,"EYES","test","error","COLOR"," COLOR",4265,1,NA,"change 2>1 bc space infront of correct",0.862111391141077
"210",1008,"DIAMETER","test","error","LENGTH","LENGTH",3614,1,NA,"",0.862111391141077
"211",1008,"COURAGEOUS","test","error","LION","LION",2927,1,NA,"",0.862111391141077
"212",1008,"ELEVATOR","test","error","BUILDING","BUILDING",4254,1,NA,"",0.862111391141077
"213",1008,"DRACULA","test","error","SCARY","SCARY",2686,1,NA,"",0.862111391141077
"214",1008,"PRESCRIPTION","test","error","PILL","PILL",3710,1,NA,"",0.862111391141077
"215",1008,"SAIL","test","error","OCEAN","OCEAN",3230,1,NA,"",0.862111391141077
"216",1008,"EMPIRE","test","error","STATE","STATE",2831,1,NA,"",0.862111391141077
"217",1009,"INTRODUCE","test","error","PRESENT","PRESENT",3694,1,NA,"",0.846641556853875
"218",1009,"CRUNCH","test","error","NOISE","NOISE",11359,1,NA,"",0.846641556853875
"219",1009,"DANCER","test","error","MUSIC","MUSIC",2190,1,NA,"",0.846641556853875
"220",1009,"PRESCRIPTION","test","error","PILL","PILL",2879,1,NA,"",0.846641556853875
"221",1009,"GLIDE","test","error","HANG","HANG",3870,1,NA,"",0.846641556853875
"222",1009,"CANYON","test","error","MOUNTAIN","ROCK",5743,0,NA,"",0.846641556853875
"223",1009,"CHIMNEY","test","error","BRICK","BRICK",3310,1,NA,"",0.846641556853875
"224",1009,"ELEVATOR","test","error","BUILDING","BUILDING",10463,1,NA,"",0.846641556853875
"225",1009,"HONEYMOON","test","error","ROMANCE","ROMANCE",4719,1,NA,"",0.846641556853875
"226",1009,"ORDER","test","error","FORM","FORM",2670,1,NA,"",0.846641556853875
"227",1009,"PORTRAY","test","error","SHOW","PAINT",7038,0,NA,"",0.846641556853875
"228",1009,"LATIN","test","error","FRENCH","FRENCH",3551,1,NA,"",0.846641556853875
"229",1009,"WELL","test","error","DONE","DONE",2639,1,NA,"",0.846641556853875
"230",1009,"DRACULA","test","error","SCARY","USE",9566,0,NA,"",0.846641556853875
"231",1009,"COURAGEOUS","test","error","LION","LION",3342,1,NA,"",0.846641556853875
"232",1009,"MEASUREMENT","test","error","HEIGHT","HEIGHT",3871,1,NA,"",0.846641556853875
"233",1009,"EYES","test","error","COLOR","COLOR",6191,1,NA,"",0.846641556853875
"234",1009,"DIAMETER","test","error","LENGTH","LENGTH",4191,1,NA,"",0.846641556853875
"235",1009,"SIDE","test","error","ORDER","ORDER",4911,1,NA,"",0.846641556853875
"236",1009,"FUGITIVE","test","error","RUN","RUN",3806,1,NA,"",0.846641556853875
