"","participant","condition","type","Accuracy","cond"
"162",1044,"error","Predicted",0.881140390932246,2.01978318335488
"163",1044,"study","Observed",0.9,0.983930166941136
"164",1044,"study","Predicted",0.822757670804048,0.988303181091324
"165",1045,"error","Observed",0.758620689655172,2.02566977810115
"166",1045,"error","Predicted",0.77610678034954,1.96647670585662
"167",1045,"study","Observed",0.724137931034483,0.995323010571301
"168",1045,"study","Predicted",0.684599507592476,1.01016016047448
"169",1046,"error","Observed",0.724137931034483,2.00430279552937
"170",1046,"error","Predicted",0.731217495565178,1.99726135561243
"171",1046,"study","Observed",0.642857142857143,0.989689688393846
"172",1046,"study","Predicted",0.630107571869561,1.00756293996237
"173",1047,"error","Observed",0.925925925925926,1.99489103706554
"174",1047,"error","Predicted",0.873772611554186,2.0279912375845
"175",1047,"study","Observed",0.833333333333333,0.99885339804925
"176",1047,"study","Predicted",0.81254083224673,1.01157267624512
"177",1049,"error","Observed",0.862068965517241,2.00707610514015
"178",1049,"error","Predicted",0.780149365974064,2.01258623471484
"179",1049,"study","Observed",0.633333333333333,0.998732470311224
"180",1049,"study","Predicted",0.689633601427559,0.997171356752515
"181",1050,"error","Observed",0.478260869565217,1.96577435633168
"182",1050,"error","Predicted",0.510079281992435,1.97030188515782
"183",1050,"study","Observed",0.357142857142857,0.989385146126151
"184",1050,"study","Predicted",0.394649998693778,1.01662891746499
"185",1051,"error","Observed",0.68,2.00899516940117
"186",1051,"error","Predicted",0.703236805342097,2.03591591360047
"187",1051,"study","Observed",0.619047619047619,1.00604061524384
"188",1051,"study","Predicted",0.597396558940913,0.986758068921044
"189",1053,"error","Observed",0.666666666666667,2.01730413205922
"190",1053,"error","Predicted",0.68632991558097,2.02508793164045
"191",1053,"study","Observed",0.583333333333333,0.981263387938961
"192",1053,"study","Predicted",0.578077571665026,1.00321108982898
"193",1054,"error","Observed",0.608695652173913,1.96029877722263
"194",1054,"error","Predicted",0.70669340334922,1.9778928456828
"195",1054,"study","Observed",0.678571428571429,1.00912792776711
"196",1054,"study","Predicted",0.601387170365815,0.990756496218964
"197",1055,"error","Observed",0.481481481481481,1.99244256272912
"198",1055,"error","Predicted",0.460428809006281,1.99304740322754
"199",1055,"study","Observed",0.25,1.00792944623157
"200",1055,"study","Predicted",0.348248604713069,0.98803114535287
"201",1056,"error","Observed",0.708333333333333,1.99612546317279
"202",1056,"error","Predicted",0.791380653698396,1.98658659622073
"203",1056,"study","Observed",0.826086956521739,1.00016913698986
"204",1056,"study","Predicted",0.703732947904595,1.00388460995629
"205",1057,"error","Observed",0.652173913043478,1.98040346724913
"206",1057,"error","Predicted",0.666820090555533,2.02388227785006
"207",1057,"study","Observed",0.551724137931034,0.986030680341646
"208",1057,"study","Predicted",0.556188554736011,1.01532014234923
"209",1058,"error","Observed",0.607142857142857,1.99595764918253
"210",1058,"error","Predicted",0.533043564625862,2.02308159716427
"211",1058,"study","Observed",0.285714285714286,1.0033193059545
"212",1058,"study","Predicted",0.41683908151886,0.994182018022984
"213",1059,"error","Observed",0.857142857142857,1.96117693489417
"214",1059,"error","Predicted",0.851979922106354,1.96438079413027
"215",1059,"study","Observed",0.833333333333333,1.01853700902313
"216",1059,"study","Predicted",0.78280446896998,0.982007107716054
"217",1061,"error","Observed",0.346153846153846,1.96805528422818
"218",1061,"error","Predicted",0.3787473572296,1.98754426797852
"219",1061,"study","Observed",0.206896551724138,1.0187258520443
"220",1061,"study","Predicted",0.27627823602983,0.986671866131946
"221",1063,"error","Observed",0.521739130434783,2.028439866025
"222",1063,"error","Predicted",0.658289017731262,1.99513198537752
"223",1063,"study","Observed",0.633333333333333,1.01707947467454
"224",1063,"study","Predicted",0.546750213116597,0.993105691745877
"225",1064,"error","Observed",0.961538461538462,2.03942958991975
"226",1064,"error","Predicted",0.913985819155531,1.98005644742399
"227",1064,"study","Observed",0.928571428571429,1.01440201401711
"228",1064,"study","Predicted",0.869344203080788,0.997083140434697
"229",1065,"error","Observed",0.807692307692308,1.98491160372272
"230",1065,"error","Predicted",0.767227253639262,1.99684991536662
"231",1065,"study","Observed",0.653846153846154,0.986960885003209
"232",1065,"study","Predicted",0.673617031141391,0.994829740393907
"233",1067,"error","Observed",0.75,1.99454337755218
"234",1067,"error","Predicted",0.716531603899788,2.01134939106181
"235",1067,"study","Observed",0.576923076923077,1.00811663352884
"236",1067,"study","Predicted",0.612822386691402,0.98093094130978
"237",1068,"error","Observed",0.875,2.01521710608155
"238",1068,"error","Predicted",0.861799695377912,1.99642558796331
"239",1068,"study","Observed",0.851851851851852,0.996679956046864
"240",1068,"study","Predicted",0.796115180955424,1.00112006579526
"241",1069,"error","Observed",0.846153846153846,1.96306667661294
"242",1069,"error","Predicted",0.793981166283443,2.00079722618684
"243",1069,"study","Observed",0.689655172413793,0.986261218423024
"244",1069,"study","Predicted",0.707021541305433,1.00820022335276
