participant,phase,condition,cue,target,response,rt,correct,Column1,Column2
1003,test,1,LAUNDRY,SOAP,SOAP,2814,1,,
1003,test,1,ROBIN,RED,RED,1726,1,,
1003,test,1,PARCEL,BOX,BOX,6078,1,,
1003,test,1,DIAMETER,LENGTH,WIDTH,4910,2,,
1003,test,1,SAIL,OCEAN,BOAT,6334,2,,
1003,test,1,COURAGEOUS,LION,LION,2286,1,,
1003,test,2,ASSISTANCE,HELPER,HELP,3469,2,,
1004,learn,1,ROBIN,RED,,5000,3,,
1004,learn,1,FUGITIVE,RUN,FIG,4967,2,,change 3>2 bc full response
1004,learn,1,LAUNDRY,SOAP,SANDWICH,2919,2,,change 3>2 bc full response
1004,learn,1,ELEVATOR,BUILDING,SOAP,3598,2,,change 3>2 bc full response
1004,learn,1,SWING,TREE,W,4989,3,,
1004,learn,1,CRUNCH,NOISE,FLOWER,3078,2,,change 3>2 bc full response
1004,learn,1,GLIDE,HANG,CHILDREN,2938,2,,change 3>2 bc full response
1004,learn,1,PRESCRIPTION,PILL,RESPONSE,4177,2,,change 3>2 bc full response
1004,learn,1,STERN,BOAT,PILLOW,1814,2,,change 3>2 bc full response
1004,learn,1,CHIMNEY,BRICK,ENVIRONMENT,2351,2,,change 3>2 bc full response
1004,learn,1,CANYON,MOUNTAIN,GEOGRAPHY,3850,2,,change 3>2 bc full response
1004,learn,1,LATIN,FRENCH,LA,4984,3,,
1004,learn,1,ORDER,FORM,DISORDER,2877,2,,change 3>2 bc full response
1004,learn,1,DRACULA,SCARY,PATH,1342,2,,change 3>2 bc full response
1004,learn,1,WELL,DONE,EMOTION,1640,2,,change 3>2 bc full response
1004,learn,1,MEASUREMENT,HEIGHT,PRIZE,2560,2,,change 3>2 bc full response
1004,learn,1,PARCEL,BOX,FOOD,2575,2,,change 3>2 bc full response
1004,learn,1,HONEYMOON,ROMANCE,,5000,3,,
1004,learn,1,PORTRAY,SHOW,SCARY,4182,2,,change 3>2 bc full response
1004,learn,1,TEA,LEAVES,CONCERT,2411,2,,change 3>2 bc full response
1004,learn,1,SIDE,ORDER,HOUSE,3234,2,,change 3>2 bc full response
1004,learn,1,INTRODUCE,PRESENT,INTRODUCI,4817,2,,change 3>2 bc full response
1004,learn,1,DANCER,MUSIC,SINGER,2135,2,,change 3>2 bc full response
1004,learn,1,EYES,COLOR,EARS,3621,2,,change 3>2 bc full response
1004,learn,1,SAIL,OCEAN,JUNGLE,2081,2,,change 3>2 bc full response
1004,learn,1,CHUNK,BLOCK,STUCK,2189,2,,change 3>2 bc full response
1004,learn,1,EMPIRE,STATE,LOGICAL,2706,2,,change 3>2 bc full response
1004,learn,1,SAFARI,DESERT,CHROME,3541,2,,change 3>2 bc full response
1004,learn,1,COURAGEOUS,LION,NORTH,3162,2,,change 3>2 bc full response
1004,learn,1,DIAMETER,LENGTH,CENTEMITER,3038,2,,change 3>2 bc full response
1004,test,1,PORTRAY,SHOW, RESPONSE ,14714,2,,
1004,test,1,SWING,TREE,OCEAN,7198,2,,
1004,test,1,WELL,DONE,DONE,1598,1,,
1004,test,2,THEOREM,GEOMETRY,GEOMETRY,15662,1,,
1004,test,1,PARCEL,BOX,BOX,2510,1,,
1004,test,2,ANNUAL,PICNIC,DAILY,3982,2,,
1004,test,2,STAR,NIGHT,NIGHT,4960,1,,
1004,test,2,BATTERY,RADIO,PHONE,25919,2,,
1004,test,1,ELEVATOR,BUILDING,BUILDING,3871,1,,
1004,test,1,CRUNCH,NOISE,CHURCH,8383,2,,
1004,test,1,SAFARI,DESERT,DESEART,8287,1,,change correct 2>1 bc typo
1004,test,1,COURAGEOUS,LION,LION,2111,1,,
1004,test,2,FREEWAY,ROAD,PATH,2495,2,,
1004,test,1,STERN,BOAT,BRAVE,5327,2,,
1004,test,1,CANYON,MOUNTAIN,NATURE,4079,2,,
1004,test,1,MEASUREMENT,HEIGHT,LENGTH,2703,2,,
1004,test,2,USURP,TAKE,SHOCK,5711,2,,
1004,test,2,SOUTH,WEST,WEST,2623,1,,
1004,test,1,SAIL,OCEAN,OCEAN,4174,1,,
1004,test,1,DIAMETER,LENGTH,MEASUREMENT,8783,2,,
1004,test,2,HOTEL,BED,BED,5166,1,,
1004,test,1,DRACULA,SCARY,PROJECT,7118,2,,
1004,test,2,ENERGY,SUN,SUNSHINE,6430,2,,
1004,test,1,EMPIRE,STATE,STATE,2350,1,,
1004,test,2,VISIT,LEAVE,LEAVE,2110,1,,
1004,test,1,CHIMNEY,BRICK,HOUSE,3502,2,,
1004,test,1,PRESCRIPTION,PILL,VISIT,3694,2,,
1004,test,2,BISCUIT,COOKIE,COOKIE,4222,1,,
1004,test,1,HONEYMOON,ROMANCE,VACATION,17870,2,,
1004,test,2,COOKOUT,HAMBURGER,,5406,2,,
1004,test,2,SINK,HOLE,HOLE,4414,1,,
1004,test,2,BLOCKADE,WALL,,3150,2,,
1004,test,2,ANCESTOR,FAMILY,FAMILY,7902,1,,
1004,test,2,CRITIC,ANALYZE,MEASUREMENT,9727,2,,
